البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
يا بانَةً تَهتَزُّ فَينانَةً وَرَوضَةً تَنفَحُ مِعطارا,وَرَوضَةً تَنفَحُ مِعطارا,يا بانَةً تَهتَزُّ فَينانَةً,السريع,ابن خفاجه
لِلَّهِ أَعطافُكِ مِن خَوطَةٍ وَحَبَّذا نَورُكِ نُوّارا,وَحَبَّذا نَورُكِ نُوّارا,لِلَّهِ أَعطافُكِ مِن خَوطَةٍ,السريع,ابن خفاجه
عَلِقتُ طَرفاً فاتِناً فاتِراً مِنكِ وَغِرّاً مِنكِ غَرّارا,مِنكِ وَغِرّاً مِنكِ غَرّارا,عَلِقتُ طَرفاً فاتِناً فاتِراً,السريع,ابن خفاجه
وَنابِلاً مُستَوطِناً بابِلاً نَفّاثَ لَحظِ العَينِ سَحّارا,نَفّاثَ لَحظِ العَينِ سَحّارا,وَنابِلاً مُستَوطِناً بابِلاً,السريع,ابن خفاجه
إِذا رَنا يَجرَحُني طَرفُهُ لَحَظتُهُ أَجرَحُهُ ثارا,لَحَظتُهُ أَجرَحُهُ ثارا,إِذا رَنا يَجرَحُني طَرفُهُ,السريع,ابن خفاجه
فَيَصبُغُ الدَرُّ عَقيقاً بِهِ وَأَصبُغُ النُوّارَ أَزهارا,وَأَصبُغُ النُوّارَ أَزهارا,فَيَصبُغُ الدَرُّ عَقيقاً بِهِ,السريع,ابن خفاجه
وَجهٌ بِهِ مِن بِدَعِ الحُسنِ ما يُقيمُ لِلعُشّاقِ أَعذارا,يُقيمُ لِلعُشّاقِ أَعذارا,وَجهٌ بِهِ مِن بِدَعِ الحُسنِ ما,السريع,ابن خفاجه
قَد طَبَعَ الحُسنُ بِهِ دِرهَماً تَسبُكُ مِنهُ العَينُ دينارا,تَسبُكُ مِنهُ العَينُ دينارا,قَد طَبَعَ الحُسنُ بِهِ دِرهَماً,السريع,ابن خفاجه
مَن يَلقَ مِن لاعِجِ وَجدٍ بِهِ ريحاً فَقَد لاقَيتُ إِعصارا,ريحاً فَقَد لاقَيتُ إِعصارا,مَن يَلقَ مِن لاعِجِ وَجدٍ بِهِ,السريع,ابن خفاجه
تَخفِقُ أَحشائي بِهِ دَوحَةً وَتَنثُرُ الأَعيُنُ نُوّارا,وَتَنثُرُ الأَعيُنُ نُوّارا,تَخفِقُ أَحشائي بِهِ دَوحَةً,السريع,ابن خفاجه
تَدورُ بِالأَعيُنِ مِن وَجهِهِ كَعبَةُ حُسنٍ حَيثُما دارا,كَعبَةُ حُسنٍ حَيثُما دارا,تَدورُ بِالأَعيُنِ مِن وَجهِهِ,السريع,ابن خفاجه
فَلي بِهِ عَينٌ مَجوسِيَّةٌ تَعبُدُ مِن وَجنَتِهِ نارا,تَعبُدُ مِن وَجنَتِهِ نارا,فَلي بِهِ عَينٌ مَجوسِيَّةٌ,السريع,ابن خفاجه
يا مالِكَ الخَيرِ عَلَيكَ السَلام أَتاكَ شَيخٌ مِن أَضَلِّ الأَنام,أَتاكَ شَيخٌ مِن أَضَلِّ الأَنام,يا مالِكَ الخَيرِ عَلَيكَ السَلام,السريع,ابن المقرب العيوني
فَأجِّجِ النارَ وَاِفتح لَهُ أَبوابَها وَاِنعم لَهُ بِالقِيام,أَبوابَها وَاِنعم لَهُ بِالقِيام,فَأجِّجِ النارَ وَاِفتح لَهُ,السريع,ابن المقرب العيوني
