البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
حاشا اهتمامك من إسداء مكرمة وأن يرى لك بين الناس إكرام,وأن يرى لك بين الناس إكرام,حاشا اهتمامك من إسداء مكرمة,البسيط,بلبل الغرام الحاجري
دع مقصراً ليس بدَّاعاً ولا عجبٌ للأريحية والإحسان أقوام,للأريحية والإحسان أقوام,دع مقصراً ليس بدَّاعاً ولا عجبٌ,البسيط,بلبل الغرام الحاجري
أَيَّتُها النَفسُ لا تُهالي شَرخي قَد مَرَّ وَاِكتِهالي,شَرخي قَد مَرَّ وَاِكتِهالي,أَيَّتُها النَفسُ لا تُهالي,البسيط,أبو العلاء المعري
لَم يَبقَ إِلّا شَفاً يَسيرٌ قَرَّبَ مِن مَورِدي نِهالي,قَرَّبَ مِن مَورِدي نِهالي,لَم يَبقَ إِلّا شَفاً يَسيرٌ,البسيط,أبو العلاء المعري
وَاِبتَهَلَ الدَهرُ في أَذاتي وَكانَ في الباطِلِ اِبتِهالي,وَكانَ في الباطِلِ اِبتِهالي,وَاِبتَهَلَ الدَهرُ في أَذاتي,البسيط,أبو العلاء المعري
وَأُمُّ دَفرٍ فَتاةُ سوءٍ تَخبُؤُني في ثَرىً مُهالِ,تَخبُؤُني في ثَرىً مُهالِ,وَأُمُّ دَفرٍ فَتاةُ سوءٍ,البسيط,أبو العلاء المعري
مُرسِلَةً غارَةً بِخَيلٍ قَد غَنِيَت عَن هَبٍ وَهالِ,قَد غَنِيَت عَن هَبٍ وَهالِ,مُرسِلَةً غارَةً بِخَيلٍ,البسيط,أبو العلاء المعري
وَجَدتُ حُبّي لَها قَديماً وَقَد تَبَيَّنتُ مَقتَها لي,وَقَد تَبَيَّنتُ مَقتَها لي,وَجَدتُ حُبّي لَها قَديماً,البسيط,أبو العلاء المعري
من سَرَّهُ كسبُ مالٍ لا نفاذَ له وراحةٌ قُرِنت بالعز والجَذَلِ,وراحةٌ قُرِنت بالعز والجَذَلِ,من سَرَّهُ كسبُ مالٍ لا نفاذَ له,البسيط,ظافر الحداد
لَمْ أَنَلْ في الشَّبابِ ما نِلْتُهُ عِن دَ مَشيبي من افتِراعِ المعاني,دَ مَشيبي من افتِراعِ المعاني,لَمْ أَنَلْ في الشَّبابِ ما نِلْتُهُ عِن,الخفيف,السراج الوراق
كُلُّ بِكْرٍ ما افتضَّها مِن فُحولِ الشَّ عْرِ عِندِي يَالَيتَ ذا في الغَواني,عْرِ عِندِي يَالَيتَ ذا في الغَواني,كُلُّ بِكْرٍ ما افتضَّها مِن فُحولِ الشَّ,الخفيف,السراج الوراق
يا ديار العباهر الأترابِ أين أهل الخيام والأطنابِ,أين أهل الخيام والأطنابِ,يا ديار العباهر الأترابِ,الخفيف,المتنبي
قذفت بالبدور عنك ظهورُ الـ ـبُدن قذف القسِيِّ بالنُشاب,ـبُدن قذف القسِيِّ بالنُشاب,قذفت بالبدور عنك ظهورُ الـ,الخفيف,المتنبي
غادة تجعل الخلي شجياً وتصيب المحب بالأوصاب,وتصيب المحب بالأوصاب,غادة تجعل الخلي شجياً,الخفيف,المتنبي
