البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر,نوع القصيدة
الدِّين يشكو بَلِيّه من فِرقَة منطِقيه,من فِرقَة منطِقيه,الدِّين يشكو بَلِيّه,المجتث,ابن جبير الشاطبي
لا يشهَدون صلاةً الا لمعنى التّقيه,الا لمعنى التّقيه,لا يشهَدون صلاةً,المجتث,ابن جبير الشاطبي
ولا تَرى الشّرع الا سياسة مدنيه,سياسة مدنيه,ولا تَرى الشّرع الا,المجتث,ابن جبير الشاطبي
ويؤثِرونَ عَليه مذاهباً فلسفيه,مذاهباً فلسفيه,ويؤثِرونَ عَليه,المجتث,ابن جبير الشاطبي
أَلشعْرُ مِنْ مَبْدَأِ الخَلـ ـقِ كَانَ فَنا سَنِيَّا,ـقِ كَانَ فَنا سَنِيَّا,أَلشعْرُ مِنْ مَبْدَأِ الخَلـ,المجتث,خليل مطران
وَكَانَ فِي كُلِّ جِيلٍ مقَامُهُ مَرْعِيَّا,مقَامُهُ مَرْعِيَّا,وَكَانَ فِي كُلِّ جِيلٍ,المجتث,خليل مطران
إِلهَامُهُ دَارَجَ الكَوْ نَ مُنْذُ شَبَّ فَتِيَّا,نَ مُنْذُ شَبَّ فَتِيَّا,إِلهَامُهُ دَارَجَ الكَوْ,المجتث,خليل مطران
دَاوُدُ وَهْوَ الَّذِي كَا نَ عَاهِلاً وَنَبِيَّا,نَ عَاهِلاً وَنَبِيَّا,دَاوُدُ وَهْوَ الَّذِي كَا,المجتث,خليل مطران
غَنى بِشِعْرٍ عَلَى الدَّهْـ ـرِ لَمْ يَزَلْ مَروِيَّا,ـرِ لَمْ يَزَلْ مَروِيَّا,غَنى بِشِعْرٍ عَلَى الدَّهْـ,المجتث,خليل مطران
كَمْ ذَاتِ تاجٍ أَجَادَتْ عَرُوضَهُ وَالرَّوِيَّا,عَرُوضَهُ وَالرَّوِيَّا,كَمْ ذَاتِ تاجٍ أَجَادَتْ,المجتث,خليل مطران
إِلَى حِلاَها الغَوالِي بِهِ أَضَافَتْ حُلِيَّا,بِهِ أَضَافَتْ حُلِيَّا,إِلَى حِلاَها الغَوالِي,المجتث,خليل مطران
وَكَمْ رَبِيبةِ خِدْرٍ صَاغَتْهُ صَوْغاً سوِيَّا,صَاغَتْهُ صَوْغاً سوِيَّا,وَكَمْ رَبِيبةِ خِدْرٍ,المجتث,خليل مطران
وَأَخْرَجَتْ مِنْ بِحَارِ الـ ـخَيَالِ دُرَّا نَقِيَّا,ـخَيَالِ دُرَّا نَقِيَّا,وَأَخْرَجَتْ مِنْ بِحَارِ الـ,المجتث,خليل مطران
يَا منْ تَحُلُّ محَلاًّ مِنَ اللِّدَاتِ علِيَّا,مِنَ اللِّدَاتِ علِيَّا,يَا منْ تَحُلُّ محَلاًّ,المجتث,خليل مطران
وتَجْتَلِي مِنْ بَعِيدٍ لَهَا ضِيَاءً حيِيا,لَهَا ضِيَاءً حيِيا,وتَجْتَلِي مِنْ بَعِيدٍ,المجتث,خليل مطران
أَفِي فُؤَادِكَ وحيٌ نَادَى نِدَاءً خَفِيَّا,نَادَى نِدَاءً خَفِيَّا,أَفِي فُؤَادِكَ وحيٌ,المجتث,خليل مطران
فَأَسْمِعِي الأُنْسَ مِنْهُ إِنْشَادَكِ العُلْوِيَّا,إِنْشَادَكِ العُلْوِيَّا,فَأَسْمِعِي الأُنْسَ مِنْهُ,المجتث,خليل مطران
وَأَقْبِسِي زِينَةَ المُلْـ ـكِ مَلمحاً ملَكِيَّا,ـكِ مَلمحاً ملَكِيَّا,وَأَقْبِسِي زِينَةَ المُلْـ,المجتث,خليل مطران
يا من به رقّ شعري وراق بالنعت وصفه,وراق بالنعت وصفه,يا من به رقّ شعري,المجتث,ابن مليك الحموي
قد مزّق النشر شاشي والقصد شيء الفه,والقصد شيء الفه,قد مزّق النشر شاشي,المجتث,ابن مليك الحموي
الحرب لا بدّ منها وإن أباها الأنام,وإن أباها الأنام,الحرب لا بدّ منها,المجتث,أحمد شوقي
حقيقة وضعوها فليس فيها كلام,فليس فيها كلام,حقيقة وضعوها,المجتث,أحمد شوقي
ما دام شر فحرب والشر فيهم لزام,والشر فيهم لزام,ما دام شر فحرب,المجتث,أحمد شوقي
في كل يوم دعاوي لا تنقضي وخصام,لا تنقضي وخصام,في كل يوم دعاوي,المجتث,أحمد شوقي
إذا أستراح حسام في الغمد قام حسام,في الغمد قام حسام,إذا أستراح حسام,المجتث,أحمد شوقي
وإن تصالح قوم تقاتلت أقوام,تقاتلت أقوام,وإن تصالح قوم,المجتث,أحمد شوقي
والناس للناس بالحر ب سيد وغلام,ب سيد وغلام,والناس للناس بالحر,المجتث,أحمد شوقي
