البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
ثَلاثَةٌ بَرَّزوا بِسَبقِهُم نَضَّرَهُم رَبُّهُم إِذا نُشِروا,نَضَّرَهُم رَبُّهُم إِذا نُشِروا,ثَلاثَةٌ بَرَّزوا بِسَبقِهُم,المنسرح,حسان بن ثابت
عاشوا بِلا فُرقَةٍ حَياتَهُمُ وَاِجتَمَعوا في المَماتِ إِذ قُبِروا,وَاِجتَمَعوا في المَماتِ إِذ قُبِروا,عاشوا بِلا فُرقَةٍ حَياتَهُمُ,المنسرح,حسان بن ثابت
فَلَيسَ مِن مُسلِمٍ لَهُ بَصَرٌ يُنكِرُ مِن فَضلِهِم إِذا ذُكِروا,يُنكِرُ مِن فَضلِهِم إِذا ذُكِروا,فَلَيسَ مِن مُسلِمٍ لَهُ بَصَرٌ,المنسرح,حسان بن ثابت
لو قيل للجود من حليفك ما إن كان إلا إليك ينتسبُ,إن كان إلا إليك ينتسبُ,لو قيل للجود من حليفك ما,المنسرح,الكميت بن زيد
أنت أخوه وأنت صورته والرأس منه وغيرك الذنبُ,والرأس منه وغيرك الذنبُ,أنت أخوه وأنت صورته,المنسرح,الكميت بن زيد
احرزتَ فضل النضال في مَهَل فكل يوم بكفك القَصَبُ,فكل يوم بكفك القَصَبُ,احرزتَ فضل النضال في مَهَل,المنسرح,الكميت بن زيد
لو أن كعباً وحاتماً نُشرا كانا جميعاً من بعض ما تهب,كانا جميعاً من بعض ما تهب,لو أن كعباً وحاتماً نُشرا,المنسرح,الكميت بن زيد
لا تخلف الوعد إن وعدت ولا خلفك للراغبين منقلب,خلفك للراغبين منقلب,لا تخلف الوعد إن وعدت ولا,المنسرح,الكميت بن زيد
لنون صدغك آيةٌ فتنت بحسنها كلّ طامح الطرف,بحسنها كلّ طامح الطرف,لنون صدغك آيةٌ فتنت,المنسرح,ابن نباته المصري
يسبِّح الله حين يبصرها فيا له عابداً على حرف,فيا له عابداً على حرف,يسبِّح الله حين يبصرها,المنسرح,ابن نباته المصري
إِنَّ الذِي حَازَ مُهْجَتِي شَغَفاً قَدْ لَجَّ فِي هَجْرِهِ وَمَا عَطَفَا,قَدْ لَجَّ فِي هَجْرِهِ وَمَا عَطَفَا,إِنَّ الذِي حَازَ مُهْجَتِي شَغَفاً,المنسرح,ابن زاكور
سَدَّدَ نَحْوِي سِهَامَ قَوْسِ جَفَا حَسْبِي الإِلَهُ مِنَ الْجَفَا وَكَفَى,حَسْبِي الإِلَهُ مِنَ الْجَفَا وَكَفَى,سَدَّدَ نَحْوِي سِهَامَ قَوْسِ جَفَا,المنسرح,ابن زاكور
إِنْ كانَ أَبْهَجَنِي غَداةَ وَفَى فَكَمْ بَرَانِي النَّحِيبُ حِينَ جَفَا,فَكَمْ بَرَانِي النَّحِيبُ حِينَ جَفَا,إِنْ كانَ أَبْهَجَنِي غَداةَ وَفَى,المنسرح,ابن زاكور
