البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
النيلُ العَذبُ هُوَ الكَوثَر وَالجَنَّةُ شاطِئُهُ الأَخضَر,وَالجَنَّةُ شاطِئُهُ الأَخضَر,النيلُ العَذبُ هُوَ الكَوثَر,المتدارك,أحمد شوقي
رَيّانُ الصَفحَةِ وَالمَنظَر ما أَبهى الخُلدَ وَما أَنضَر,ما أَبهى الخُلدَ وَما أَنضَر,رَيّانُ الصَفحَةِ وَالمَنظَر,المتدارك,أحمد شوقي
البَحرُ الفَيّاضُ القُدسُ الساقي الناسَ وَما غَرَسوا,الساقي الناسَ وَما غَرَسوا,البَحرُ الفَيّاضُ القُدسُ,المتدارك,أحمد شوقي
وَهوَ المِنوالُ لِما لَبِسوا وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَهوَ المِنوالُ لِما لَبِسوا,المتدارك,أحمد شوقي
جَعلَ الإِحسانَ لَهُ شَرعا لَم يُخلِ الوادِيَ مِن مَرعى,لَم يُخلِ الوادِيَ مِن مَرعى,جَعلَ الإِحسانَ لَهُ شَرعا,المتدارك,أحمد شوقي
فَتَرى زَرعاً يَتلو زَرعا وَهُنا يُجنى وَهُنا يُبذَر,وَهُنا يُجنى وَهُنا يُبذَر,فَتَرى زَرعاً يَتلو زَرعا,المتدارك,أحمد شوقي
جارٍ وَيُرى لَيسَ بِجارِ لِأَناةٍ فيهِ وَوَقار,لِأَناةٍ فيهِ وَوَقار,جارٍ وَيُرى لَيسَ بِجارِ,المتدارك,أحمد شوقي
يَنصَبُّ كَتَلٍ مُنهارِ وَيَضِجُّ فَتَحسَبُهُ يَزأَر,وَيَضِجُّ فَتَحسَبُهُ يَزأَر,يَنصَبُّ كَتَلٍ مُنهارِ,المتدارك,أحمد شوقي
حَبَشِيُّ اللَونِ كَجيرَتِهِ مِن مَنبَعِهِ و بُحَيرَتِهِ,مِن مَنبَعِهِ و بُحَيرَتِهِ,حَبَشِيُّ اللَونِ كَجيرَتِهِ,المتدارك,أحمد شوقي
صَبَغَ الشَطَّينِ بِسُمرَتِهِ لَوناً كَالمِسكِ وَكَالعَنبَر,لَوناً كَالمِسكِ وَكَالعَنبَر,صَبَغَ الشَطَّينِ بِسُمرَتِهِ,المتدارك,أحمد شوقي
الصُّبْحُ بَدَا مِنْ طَلْعَتِهِ وَاللَّيْلُ دَجا مِنْ وَفْرَتِهِ,وَاللَّيْلُ دَجا مِنْ وَفْرَتِهِ,الصُّبْحُ بَدَا مِنْ طَلْعَتِهِ,المتدارك,البوصيري
فَاقَ الرُّسُلاَ فَضْلاً وَعُلاَ أَهْدَى السُّبُلاَ لِدَلاَلَتِهِ,أَهْدَى السُّبُلاَ لِدَلاَلَتِهِ,فَاقَ الرُّسُلاَ فَضْلاً وَعُلاَ,المتدارك,البوصيري
كَنْزُ الْكَرِيمِ مُوْلِي النِّعَمِ هَادِي الأُمَمِ لِشَرِيعَتِهِ,هَادِي الأُمَمِ لِشَرِيعَتِهِ,كَنْزُ الْكَرِيمِ مُوْلِي النِّعَمِ,المتدارك,البوصيري
أَذْكَى النَّسَبِ أَعْلَى الحَسَبِ كُلُّ العَرَبِ في خِدْمَتِهِ,كُلُّ العَرَبِ في خِدْمَتِهِ,أَذْكَى النَّسَبِ أَعْلَى الحَسَبِ,المتدارك,البوصيري
سَعَتِ الشَّجَرُ نَطَقَ الحَجَرُ شُقَّ القَمَرُ بإشَارَتِهِ,شُقَّ القَمَرُ بإشَارَتِهِ,سَعَتِ الشَّجَرُ نَطَقَ الحَجَرُ,المتدارك,البوصيري
جِبْرِيلُ أَتَى لَيْلَةَ أَسْرَى وَالرَّبُّ دَعَاهُ لِحَضْرَتِهِ,وَالرَّبُّ دَعَاهُ لِحَضْرَتِهِ,جِبْرِيلُ أَتَى لَيْلَةَ أَسْرَى,المتدارك,البوصيري
نالَ الشَّرَفَا وَاللهُ عَفَا عَمَّا سَلَفَا مِنْ أُمَّتِهِ,عَمَّا سَلَفَا مِنْ أُمَّتِهِ,نالَ الشَّرَفَا وَاللهُ عَفَا,المتدارك,البوصيري
فَمُحَمَّدُنا هُوَ سَيِّدُنا فالعِزُّ لَنا لإجَابَتِهِ,فالعِزُّ لَنا لإجَابَتِهِ,فَمُحَمَّدُنا هُوَ سَيِّدُنا,المتدارك,البوصيري
مَن ذا أَفتاكِ بِسَفكِ دَمي يا غُرَّةَ حَيِّ بَني جُشَمِ,يا غُرَّةَ حَيِّ بَني جُشَمِ,مَن ذا أَفتاكِ بِسَفكِ دَمي,المتدارك,ابن المقرب العيوني
فَتعالَي غَيرَ مُدافِعَةٍ نَقصُص رُؤياكِ عَلى حَكَمِ,نَقصُص رُؤياكِ عَلى حَكَمِ,فَتعالَي غَيرَ مُدافِعَةٍ,المتدارك,ابن المقرب العيوني
أَبِنَظرَةِ عَينٍ عَن خَطأٍ عَرَضَت بِالعَمدِ يُراقُ دَمي,عَرَضَت بِالعَمدِ يُراقُ دَمي,أَبِنَظرَةِ عَينٍ عَن خَطأٍ,المتدارك,ابن المقرب العيوني
إِن كان جَنى طَرفي فَلَقَد يَكفيهِ مَقالُكِ لا تَنَمِ,يَكفيهِ مَقالُكِ لا تَنَمِ,إِن كان جَنى طَرفي فَلَقَد,المتدارك,ابن المقرب العيوني
