البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
عِندَ الزِحامِ تُسرَفُ السَلائِقُ وَذو الوَعيدِ كاذِبٌ أَو صادِقُ,وَذو الوَعيدِ كاذِبٌ أَو صادِقُ,عِندَ الزِحامِ تُسرَفُ السَلائِقُ,الرجز,جساس بن مرة
دع عنك ذكرَ منزلٍ بالأبرقِ أماته حَيا السحابِ المُغدِقِ,أماته حَيا السحابِ المُغدِقِ,دع عنك ذكرَ منزلٍ بالأبرقِ,الرجز,ابن قلاقس
وكلّ ريحٍ دائبٍ مصفّقِ فصار بعد جِدّةٍ في خلَقِ,فصار بعد جِدّةٍ في خلَقِ,وكلّ ريحٍ دائبٍ مصفّقِ,الرجز,ابن قلاقس
فإنما العيشُ حُداءُ الأينُقِ وقطْعُ كلّ مهمهٍ منخَرِق,وقطْعُ كلّ مهمهٍ منخَرِق,فإنما العيشُ حُداءُ الأينُقِ,الرجز,ابن قلاقس
بمُقرَبٍ أدهمَ ذي تَلهوقِ وشرطِ الوغى صهْصَلَقِ,وشرطِ الوغى صهْصَلَقِ,بمُقرَبٍ أدهمَ ذي تَلهوقِ,الرجز,ابن قلاقس
آباؤه من بعض خيل يلبَقِ أقبّ نهدٍ صلِفٍ ذي أولَقِ,أقبّ نهدٍ صلِفٍ ذي أولَقِ,آباؤه من بعض خيل يلبَقِ,الرجز,ابن قلاقس
أو أبيضٍ مثلَ ابيضاضِ المبرق تحسَبُه في الليلِ ضوءَ الفلَقِ,تحسَبُه في الليلِ ضوءَ الفلَقِ,أو أبيضٍ مثلَ ابيضاضِ المبرق,الرجز,ابن قلاقس
ومرهَفٍ يَفري كثيفَ الحلَقِ لا تُتّقى ضربَتُه بالدّرَقِ,لا تُتّقى ضربَتُه بالدّرَقِ,ومرهَفٍ يَفري كثيفَ الحلَقِ,الرجز,ابن قلاقس
يختطِفُ الألحاظَ حُسنَ رونقِ وأسحمِ اللونِ أحمّ غدِق,وأسحمِ اللونِ أحمّ غدِق,يختطِفُ الألحاظَ حُسنَ رونقِ,الرجز,ابن قلاقس
تحسَبُه كالليلِ لو لم يبرُقِ لما حواهُ من حَياً مفرِّق,لما حواهُ من حَياً مفرِّق,تحسَبُه كالليلِ لو لم يبرُقِ,الرجز,ابن قلاقس
فعلَ الإمامِ الحافظِ الموفّقِ القائل الفاعلِ شمسِ المَشرِق,القائل الفاعلِ شمسِ المَشرِق,فعلَ الإمامِ الحافظِ الموفّقِ,الرجز,ابن قلاقس
بابُ العطاءِ عندَه لم يُغلَق قليلُه مثلُ الخضمِّ المتأقِ,قليلُه مثلُ الخضمِّ المتأقِ,بابُ العطاءِ عندَه لم يُغلَق,الرجز,ابن قلاقس
فاز كآباءٍ له بالسّبقِ فقُلِّد الجودَ مكانَ الرّبَقِ,فقُلِّد الجودَ مكانَ الرّبَقِ,فاز كآباءٍ له بالسّبقِ,الرجز,ابن قلاقس
فهو على أعراضِه كالخندَقِ ما دُنِّسَتْ أعراضُه بالرّنقِ,ما دُنِّسَتْ أعراضُه بالرّنقِ,فهو على أعراضِه كالخندَقِ,الرجز,ابن قلاقس
