البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
ومُقِلَّ اسقتموه فأثرى مائة من عطائم جُرْجُورا,مائة من عطائم جُرْجُورا,ومُقِلَّ اسقتموه فأثرى,المتقارب,الكميت بن زيد
أَتَتْنِي لِسانُ بَنِي عامِرٍ فَجلَّتْ أَحادِيثُها عنْ بَصَرْ,فَجلَّتْ أَحادِيثُها عنْ بَصَرْ,أَتَتْنِي لِسانُ بَنِي عامِرٍ,المتقارب,المرقش الأكبر
بأنَّ بَنِي الوَخْمِ سارُوا مَعاً بِجَيْشٍ كَضَوْءِ نُجُومِ السَّحَرْ,بِجَيْشٍ كَضَوْءِ نُجُومِ السَّحَرْ,بأنَّ بَنِي الوَخْمِ سارُوا مَعاً,المتقارب,المرقش الأكبر
بِكُلِّ نَسُولِ السُّرى نَهْدَةٍ وكُلِّ كُمَيْتٍ طُوالٍ أَغَرّ,وكُلِّ كُمَيْتٍ طُوالٍ أَغَرّ,بِكُلِّ نَسُولِ السُّرى نَهْدَةٍ,المتقارب,المرقش الأكبر
فَما شَعَرَ الحَيُّ حَتَّى رَأَوْا بَياضَ القَوانِسِ فَوقَ الغُرَرْ,بَياضَ القَوانِسِ فَوقَ الغُرَرْ,فَما شَعَرَ الحَيُّ حَتَّى رَأَوْا,المتقارب,المرقش الأكبر
فأَقْبَلْنهُمْ ثمَّ أَدْبَرْنَهُمْ فأَصْدَرْنَهُمْ قَبْلَ حِينِ الصَّدَرْ,فأَصْدَرْنَهُمْ قَبْلَ حِينِ الصَّدَرْ,فأَقْبَلْنهُمْ ثمَّ أَدْبَرْنَهُمْ,المتقارب,المرقش الأكبر
فَيا ربَّ شِلْوٍ تَخَطْرَفْنَه كَرِيمٍ لَدى مَزْحَفٍ أَو مَكَر,كَرِيمٍ لَدى مَزْحَفٍ أَو مَكَر,فَيا ربَّ شِلْوٍ تَخَطْرَفْنَه,المتقارب,المرقش الأكبر
وآخَرَ شاصٍ تَرى جلْدَهُ كَقِشْرِ القَتادَةِ غِبَّ المَطَرْ,كَقِشْرِ القَتادَةِ غِبَّ المَطَرْ,وآخَرَ شاصٍ تَرى جلْدَهُ,المتقارب,المرقش الأكبر
وكائِنْ بجُمْرانَ مِنْ مُزْعَف ومِنْ رَجُلٍ وَجْهُهُ قد عُفِرْ,ومِنْ رَجُلٍ وَجْهُهُ قد عُفِرْ,وكائِنْ بجُمْرانَ مِنْ مُزْعَف,المتقارب,المرقش الأكبر
فقدتك يا ابنَ أبي طاهرٍ وأطعمتُ ثُكْلَكَ قبلَ العشاءِ,وأطعمتُ ثُكْلَكَ قبلَ العشاءِ,فقدتك يا ابنَ أبي طاهرٍ,المتقارب,ابن الرومي
فلا بَردُ شِعركِ بَردُ الشرابِ ولا حَرُّ شعرك حَرُّ الصِّلاءِ,ولا حَرُّ شعرك حَرُّ الصِّلاءِ,فلا بَردُ شِعركِ بَردُ الشرابِ,المتقارب,ابن الرومي
تَذَبْذَبَ فَنُّك بين الفنون فلا للطبيخ ولا للشِّواءِ,فلا للطبيخ ولا للشِّواءِ,تَذَبْذَبَ فَنُّك بين الفنون,المتقارب,ابن الرومي
