البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
أنتمُ للعين والأثر منتهى الآمال والوطر,منتهى الآمال والوطر,أنتمُ للعين والأثر,المديد,ابن علوي الحداد
يا سكوناً في السريرة من سر سرى لا من النظر,سر سرى لا من النظر,يا سكوناً في السريرة من,المديد,ابن علوي الحداد
عطفة يهدي بها قلق ضاع منه العمر في السفر,ضاع منه العمر في السفر,عطفة يهدي بها قلق,المديد,ابن علوي الحداد
لم يزل في لج فكرته راكباً للهو والخطر,راكباً للهو والخطر,لم يزل في لج فكرته,المديد,ابن علوي الحداد
سابحاً في بر معتبر ويح مقصور على الفكر,ويح مقصور على الفكر,سابحاً في بر معتبر,المديد,ابن علوي الحداد
هكذا في طول مدته طائفاً في الحادث الدثر,طائفاً في الحادث الدثر,هكذا في طول مدته,المديد,ابن علوي الحداد
أين علم الكشف من نظر أين رأى العين من خبر,أين رأى العين من خبر,أين علم الكشف من نظر,المديد,ابن علوي الحداد
أين أين المهملات علا وانخفاضاً فارم بالبصر,وانخفاضاً فارم بالبصر,أين أين المهملات علا,المديد,ابن علوي الحداد
إن سر اللَه مستتر في جميع الكون والبشر,في جميع الكون والبشر,إن سر اللَه مستتر,المديد,ابن علوي الحداد
فاقطع الحجب الكثيفة بالسي ر عنها غير مقتصر,ر عنها غير مقتصر,فاقطع الحجب الكثيفة بالسي,المديد,ابن علوي الحداد
واقطع الحجب اللطيف بالسي ر فيها غير مغترر,ر فيها غير مغترر,واقطع الحجب اللطيف بالسي,المديد,ابن علوي الحداد
فإذا جاوزت مرتقياً سدرة الأسرار والقدر,سدرة الأسرار والقدر,فإذا جاوزت مرتقياً,المديد,ابن علوي الحداد
فتوقف وانتظر علماً من علوم الأمر وادكر,من علوم الأمر وادكر,فتوقف وانتظر علماً,المديد,ابن علوي الحداد
واحتفظ بالشرع وابغي به حكم رب العرش في الصور,حكم رب العرش في الصور,واحتفظ بالشرع وابغي به,المديد,ابن علوي الحداد
دين خير الخلق أشرفهم سيد السادات من مضر,سيد السادات من مضر,دين خير الخلق أشرفهم,المديد,ابن علوي الحداد
صلوات اللَه تبلغه ما تغنى الورق في الشجر,ما تغنى الورق في الشجر,صلوات اللَه تبلغه,المديد,ابن علوي الحداد
قُل لِمَسرى الريحِ مِن إِضَمِ وَلَيالينا بِذي سَلَمِ,وَلَيالينا بِذي سَلَمِ,قُل لِمَسرى الريحِ مِن إِضَمِ,المديد,ابن خفاجه
طالَ لَيلي في هَوى قَمَرٍ نامَ عَن لَيلي وَلَم أَنَمِ,نامَ عَن لَيلي وَلَم أَنَمِ,طالَ لَيلي في هَوى قَمَرٍ,المديد,ابن خفاجه
وَأَبي حَيّاهُ مِن رَشَإٍ مُستَطابِ اللَثمِ وَالشِيَمِ,مُستَطابِ اللَثمِ وَالشِيَمِ,وَأَبي حَيّاهُ مِن رَشَإٍ,المديد,ابن خفاجه
لَتَساوى مابِنَظرَتِهِ وَبِجِسمِيَ فيهِ مِن سَقَمِ,وَبِجِسمِيَ فيهِ مِن سَقَمِ,لَتَساوى مابِنَظرَتِهِ,المديد,ابن خفاجه
لامَسَحتُ الجَفنَ مِن سَهَرٍ وَوَقَيتُ القَلبَ مِن أَلَمِ,وَوَقَيتُ القَلبَ مِن أَلَمِ,لامَسَحتُ الجَفنَ مِن سَهَرٍ,المديد,ابن خفاجه
وَلَئِن راوَدتُ مِن سِنَةٍ لَبِما أَرتادُ مِن حُلُمِ,لَبِما أَرتادُ مِن حُلُمِ,وَلَئِن راوَدتُ مِن سِنَةٍ,المديد,ابن خفاجه
وَخَيالٍ لَو سَرى لَخَبا مابِصَدرِ الصَبِّ مِن ضَرَمِ,مابِصَدرِ الصَبِّ مِن ضَرَمِ,وَخَيالٍ لَو سَرى لَخَبا,المديد,ابن خفاجه
فَسَقى اللَهُ مَضاجِعَنا بَينَ طَلَحِ الجِزعِ وَالسَلَمِ,بَينَ طَلَحِ الجِزعِ وَالسَلَمِ,فَسَقى اللَهُ مَضاجِعَنا,المديد,ابن خفاجه
وَبَكى باكي الغَمامِ بِها بَينَ مُنهَلٍّ وَمُنسَجِمِ,بَينَ مُنهَلٍّ وَمُنسَجِمِ,وَبَكى باكي الغَمامِ بِها,المديد,ابن خفاجه
فَلَكَم شَكوى هُناكَ لَنا وَلَكَم نَجوى بِها وَكَمِ,وَلَكَم نَجوى بِها وَكَمِ,فَلَكَم شَكوى هُناكَ لَنا,المديد,ابن خفاجه
وَاِلتِثامٍ بَينَ مُعتَنِقٍ وَاِعتِناقٍ بَينَ مُلتَثِمِ,وَاِعتِناقٍ بَينَ مُلتَثِمِ,وَاِلتِثامٍ بَينَ مُعتَنِقٍ,المديد,ابن خفاجه
بِكَلامٍ رَقَّ جانِبُهُ بَينَ مَنثورٍ وَمُنتَظِمِ,بَينَ مَنثورٍ وَمُنتَظِمِ,بِكَلامٍ رَقَّ جانِبُهُ,المديد,ابن خفاجه
فَتَعاقَدنا يَداً بِيَدٍ وَتَعاهَدنا فَماً لِفَمِ,وَتَعاهَدنا فَماً لِفَمِ,فَتَعاقَدنا يَداً بِيَدٍ,المديد,ابن خفاجه
وَاِنتَصَفنا مِن مَظالِمِنا وَأَخَذنا أَخذَ مُحتَكِمِ,وَأَخَذنا أَخذَ مُحتَكِمِ,وَاِنتَصَفنا مِن مَظالِمِنا,المديد,ابن خفاجه
وَاِنثَنى يَمشي بِهِ غُصُنٌ مِن جَناهُ نَورُ مُبتَسِمِ,مِن جَناهُ نَورُ مُبتَسِمِ,وَاِنثَنى يَمشي بِهِ غُصُنٌ,المديد,ابن خفاجه
وَقَبِلتُ الكَأسَ مِن يَدِهِ فَاِجتَنَينا الوَردَ مِن عَنَمِ,فَاِجتَنَينا الوَردَ مِن عَنَمِ,وَقَبِلتُ الكَأسَ مِن يَدِهِ,المديد,ابن خفاجه
وَسَواءٌ دُرَّ مَنطِقِهِ وَحُلاهُ حُسنَ مُنتَظَمِ,وَحُلاهُ حُسنَ مُنتَظَمِ,وَسَواءٌ دُرَّ مَنطِقِهِ,المديد,ابن خفاجه
