البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
ووَما كُنتُمُ تَعرِفونَ الجَفا فَبِاللَهِ مِمَّن تَعَلَّمتُم,فَبِاللَهِ مِمَّن تَعَلَّمتُم,ووَما كُنتُمُ تَعرِفونَ الجَفا,المقتضب,القاضي الفاضل
القلوب والمقل هن للهوى رسل,هن للهوى رسل,القلوب والمقل,المقتضب,خليل مطران
لسن للهوى عللاً بل به لها علل,بل به لها علل,لسن للهوى عللاً,المقتضب,خليل مطران
ربما وآمرها يقتضي فتمتثل,يقتضي فتمتثل,ربما وآمرها,المقتضب,خليل مطران
والرسول مؤتمراً والجماد ينفصل,والجماد ينفصل,والرسول مؤتمراً,المقتضب,خليل مطران
لا عقوبة لهما حللت ولا عذل,حللت ولا عذل,لا عقوبة لهما,المقتضب,خليل مطران
حاكم مشيئته لا تردها الحيل,لا تردها الحيل,حاكم مشيئته,المقتضب,خليل مطران
والوجود دولته أرضنا بها عمل,أرضنا بها عمل,والوجود دولته,المقتضب,خليل مطران
والأمير خادمه والحكيم والبطل,والحكيم والبطل,والأمير خادمه,المقتضب,خليل مطران
والنجوم في يده تغتدي وتنتقل,تغتدي وتنتقل,والنجوم في يده,المقتضب,خليل مطران
والحياة موطنه والطبيعة والسبل,والطبيعة والسبل,والحياة موطنه,المقتضب,خليل مطران
والدوام مبدؤه والنهاية الأزل,والنهاية الأزل,والدوام مبدؤه,المقتضب,خليل مطران
والسنى تبسمه وهو ضاحكٌ جذل,وهو ضاحكٌ جذل,والسنى تبسمه,المقتضب,خليل مطران
والدجى عبوسته والخطوب والوهل,والخطوب والوهل,والدجى عبوسته,المقتضب,خليل مطران
السرور في فمه والعذاب والأجل,والعذاب والأجل,السرور في فمه,المقتضب,خليل مطران
من يطيق حملته من له بها قبل,من له بها قبل,من يطيق حملته,المقتضب,خليل مطران
عينك التي نظرت منه جاءها الميل,منه جاءها الميل,عينك التي نظرت,المقتضب,خليل مطران
والفؤاد طاوعها وهو مكره وجل,وهو مكره وجل,والفؤاد طاوعها,المقتضب,خليل مطران
فالمسيء غيرهما ما إليه متصل,ما إليه متصل,فالمسيء غيرهما,المقتضب,خليل مطران
إنما الجزاء لمن عنه يصدر الزلل,عنه يصدر الزلل,إنما الجزاء لمن,المقتضب,خليل مطران
علة لما فعلا لو تعاقب العلل,لو تعاقب العلل,علة لما فعلا,المقتضب,خليل مطران
حامِلُ الهَوى تَعِبُ يَستَخِفُّهُ الطَرَبُ,يَستَخِفُّهُ الطَرَبُ,حامِلُ الهَوى تَعِبُ,المقتضب,ابو نواس
إِن بَكى يُحَقُّ لَهُ لَيسَ ما بِهِ لَعِبُ,لَيسَ ما بِهِ لَعِبُ,إِن بَكى يُحَقُّ لَهُ,المقتضب,ابو نواس
تَضحَكينَ لاهِيَةً وَالمُحِبُّ يَنتَحِبُ,وَالمُحِبُّ يَنتَحِبُ,تَضحَكينَ لاهِيَةً,المقتضب,ابو نواس
تَعجَبينَ مِن سَقَمي صِحَّتي هِيَ العَجَبُ,صِحَّتي هِيَ العَجَبُ,تَعجَبينَ مِن سَقَمي,المقتضب,ابو نواس
كُلَّما اِنقَضى سَبَبٌ مِنكِ عادَ لي سَبَبُ,مِنكِ عادَ لي سَبَبُ,كُلَّما اِنقَضى سَبَبٌ,المقتضب,ابو نواس
سَلَوتُ عَلى الدَهرِ فيمَن سَلا وَصِرتُ أَعُدُّكَ فيما خَلا,وَصِرتُ أَعُدُّكَ فيما خَلا,سَلَوتُ عَلى الدَهرِ فيمَن سَلا,المقتضب,القاضي الفاضل
وَكُنتُ حَزيناً فَأَمّا كَما يَحِقُّ لِمِثلِكَ عِندي فَلا,يَحِقُّ لِمِثلِكَ عِندي فَلا,وَكُنتُ حَزيناً فَأَمّا كَما,المقتضب,القاضي الفاضل
بَليتُ وَأَبلَيتُ فيكَ الأَسى كَأَنَّ السُلُوّ عَقيدُ البِلى,كَأَنَّ السُلُوّ عَقيدُ البِلى,بَليتُ وَأَبلَيتُ فيكَ الأَسى,المقتضب,القاضي الفاضل
أَبا حَسَنٍ كَيفَ ذاك الجَما لُ وَذاكَ الجَميلُ وَتِلكَ العُلى,لُ وَذاكَ الجَميلُ وَتِلكَ العُلى,أَبا حَسَنٍ كَيفَ ذاك الجَما,المقتضب,القاضي الفاضل
وَهَل أَجمَلَ التُربُ في صُنعِهِ لِقاكَ وَلِلتُربِ أَن يُجمِلا,لِقاكَ وَلِلتُربِ أَن يُجمِلا,وَهَل أَجمَلَ التُربُ في صُنعِهِ,المقتضب,القاضي الفاضل
وَحَقٌّ عَلَيهِ وَأَنتَ السَحا بُ بِأَن يَتَرَشَّفَ تِلكَ الحُلى,بُ بِأَن يَتَرَشَّفَ تِلكَ الحُلى,وَحَقٌّ عَلَيهِ وَأَنتَ السَحا,المقتضب,القاضي الفاضل
وَحَقّي الفِدا لَكَ مِن حَملِهِ وَإِن كانَ مَحمَلُهُ مُثقِلا,وَإِن كانَ مَحمَلُهُ مُثقِلا,وَحَقّي الفِدا لَكَ مِن حَملِهِ,المقتضب,القاضي الفاضل
فَوَاللَهِ ما تَرَكَ الدَهرُ في فُؤادي لِحادِثَةٍ مَحمَلا,فُؤادي لِحادِثَةٍ مَحمَلا,فَوَاللَهِ ما تَرَكَ الدَهرُ في,المقتضب,القاضي الفاضل
