البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
أَلا يا جَونَ ماوُفِّقتَ إِن زايَلتَ قاموسَك,إِن زايَلتَ قاموسَك,أَلا يا جَونَ ماوُفِّقتَ,الهزج,أبو العلاء المعري
وَرَأيِي لَكَ في العالَ مِ أَن تَلزَمَ ناموسَك,مِ أَن تَلزَمَ ناموسَك,وَرَأيِي لَكَ في العالَ,الهزج,أبو العلاء المعري
وَما يَبقى عَلى الأَيّا مِ لا موسى وَلا موسَك,مِ لا موسى وَلا موسَك,وَما يَبقى عَلى الأَيّا,الهزج,أبو العلاء المعري
وَيا راهِبُ لا أَلحا كَ أَن تَضرِب ناقوسَك,كَ أَن تَضرِب ناقوسَك,وَيا راهِبُ لا أَلحا,الهزج,أبو العلاء المعري
وَما أَجنَأَ مَن جاءَكَ يَرمي بِالأَذى قوسَك,يَرمي بِالأَذى قوسَك,وَما أَجنَأَ مَن جاءَكَ,الهزج,أبو العلاء المعري
وَما تَعصِمُكَ الوَحدَ ةُ أَن تَنزِلَ ناوُوسَك,ةُ أَن تَنزِلَ ناوُوسَك,وَما تَعصِمُكَ الوَحدَ,الهزج,أبو العلاء المعري
وَيا رازيّ ما لِلخَي لِ لا تَمنَعُ شالوسَك,لِ لا تَمنَعُ شالوسَك,وَيا رازيّ ما لِلخَي,الهزج,أبو العلاء المعري
أَخافُ الدَهرَ أَن يُبدِ لَ نَعماءَ الغِنى بوسَك,لَ نَعماءَ الغِنى بوسَك,أَخافُ الدَهرَ أَن يُبدِ,الهزج,أبو العلاء المعري
أَسعَدُ المُشتَري أَوحَ شَ مِن عِزِّكَ مَأنوسَك,شَ مِن عِزِّكَ مَأنوسَك,أَسعَدُ المُشتَري أَوحَ,الهزج,أبو العلاء المعري
أَلا تَنهَضُ لِلحَربِ وَتَدعو لِلوَغى شُوسَك,وَتَدعو لِلوَغى شُوسَك,أَلا تَنهَضُ لِلحَربِ,الهزج,أبو العلاء المعري
وَكَم تَحبِسُ زِريابَكَ في السِجنِ وَطاوُوسَك,في السِجنِ وَطاوُوسَك,وَكَم تَحبِسُ زِريابَكَ,الهزج,أبو العلاء المعري
فَإِنَّ الوَحشَ في البَيدا ءِ ضاهي سوسُها سوسَك,ءِ ضاهي سوسُها سوسَك,فَإِنَّ الوَحشَ في البَيدا,الهزج,أبو العلاء المعري
وَلا تَأمَنُ في الحِندِ سِ مِن وَطئِكَ فاعوسَك,سِ مِن وَطئِكَ فاعوسَك,وَلا تَأمَنُ في الحِندِ,الهزج,أبو العلاء المعري
وَمِن عاداتِ رَيبِ الدَه رِ أَن يَذعَرَ بابوسَك,رِ أَن يَذعَرَ بابوسَك,وَمِن عاداتِ رَيبِ الدَه,الهزج,أبو العلاء المعري
فَسَل نُعمانَكَ الأَوَّ لَ عَن ذاكَ وَقابوسَك,لَ عَن ذاكَ وَقابوسَك,فَسَل نُعمانَكَ الأَوَّ,الهزج,أبو العلاء المعري
