الشاعر,البحر,الشطر الأيمن,الشطر الأيسر,البيت
ابن مالك,الرجز,كلامنا لفظ مفيد كاستقم ,  واسم وفعل ثمّ حرف الكلم,كلامنا لفظ مفيد كاستقم واسم وفعل ثمّ حرف الكلم
ابن مالك,الرجز,واحده كلمة والقول عتم ,  وكلمة بها كلام قد يؤم,واحده كلمة والقول عتم وكلمة بها كلام قد يؤم
ابن مالك,الرجز,بالجرّ والتنوين والنّدا وآل ,  ومسند للاسم تمييز حصل,بالجرّ والتنوين والنّدا وآل ومسند للاسم تمييز حصل
ابن مالك,الرجز,بتا فعلت وأتت ويا افعلي ,  ونون أقبلنّ فعل ينجلي,بتا فعلت وأتت ويا افعلي ونون أقبلنّ فعل ينجلي
ابن مالك,الرجز,سواهما الحرف كهل وفي ولم ,  فعل مضارع يلي لم كيشم,سواهما الحرف كهل وفي ولم فعل مضارع يلي لم كيشم
ابن مالك,الرجز,وماضي الأفعال بالتامز وسم ,  بالنون فعل الأمر إن أمر فهم,وماضي الأفعال بالتامز وسم بالنون فعل الأمر إن أمر فهم
ابن مالك,الرجز,والأمر إن لم يك للنون محل ,  فيه فهو اسم نحوصه وحيّهل,والأمر إن لم يك للنون محل فيه فهو اسم نحوصه وحيّهل
ابن مالك,الرجز,والاسم منه معرب ومبني ,  لشبه من الحروف مدني,والاسم منه معرب ومبني لشبه من الحروف مدني
ابن مالك,الرجز,كالشبه الوضعيّ في اسمي جئتنا ,  والمعنويّ في متى وفي هنا,كالشبه الوضعيّ في اسمي جئتنا والمعنويّ في متى وفي هنا
ابن مالك,الرجز,وكنيابة عن الفعل بلا ,  تأثر وكافتقار أصّلا,وكنيابة عن الفعل بلا تأثر وكافتقار أصّلا
ابن مالك,الرجز,ومعرب الأسماء ما قد سلما ,  من شبه الحرف كأرض وسما,ومعرب الأسماء ما قد سلما من شبه الحرف كأرض وسما
ابن مالك,الرجز,وفعل أمر ومضي بنيا ,  وأعربوا مضارعا إن عريا,وفعل أمر ومضي بنيا وأعربوا مضارعا إن عريا
ابن مالك,الرجز,من نون توكيد مباشر ومن ,  نون إناث كيرعن من فتن,من نون توكيد مباشر ومن نون إناث كيرعن من فتن
ابن مالك,الرجز,وكلّ حرف مستحق للبنا ,  والأصل في المبنيّ أن يسكّنا,وكلّ حرف مستحق للبنا والأصل في المبنيّ أن يسكّنا
ابن مالك,الرجز,ومنه ذو فتح وذو كسر وضم ,  كأين أمس حيث والسّاكن كم,ومنه ذو فتح وذو كسر وضم كأين أمس حيث والسّاكن كم
ابن مالك,الرجز,والرّفع والنّصب اجعلن اعرابا ,  لاسم وفعل نحو لن أهابا,والرّفع والنّصب اجعلن اعرابا لاسم وفعل نحو لن أهابا
ابن مالك,الرجز,والاسم قد خصّص بالجرّ كما ,  قد خصّص الفعل بأن ينجزما,والاسم قد خصّص بالجرّ كما قد خصّص الفعل بأن ينجزما
ابن مالك,الرجز,فارفع بضمّ وانصبن فتحا وجرّ ,  كسرا كذكر الله عبده يسر,فارفع بضمّ وانصبن فتحا وجرّ كسرا كذكر الله عبده يسر
ابن مالك,الرجز,واجزم بتسكين وغير ما ذكر ,  ينوب نحو جاأخو بني نمر,واجزم بتسكين وغير ما ذكر ينوب نحو جاأخو بني نمر
