الشاعر,البحر,الشطر الأيمن,الشطر الأيسر,البيت
الإمام القحطاني الأندلسي,الكامل,يَا مُنْزِلَ الآيَاتِ وَالْفُرْقَانِ , بَيْنِي وَبَيْنَكَ حُرْمَةُ الْقُرْآنِ,يَا مُنْزِلَ الآيَاتِ وَالْفُرْقَانِ بَيْنِي وَبَيْنَكَ حُرْمَةُ الْقُرْآنِ
الإمام القحطاني الأندلسي,الكامل,اِشْرَحْ بِهِ صَدْرِي لِمَعْرِفَةِ الْهُدَى , وَاعْصِمْ بِهِ قَلْبِي مِنَ الشَّيْطَانِ,اِشْرَحْ بِهِ صَدْرِي لِمَعْرِفَةِ الْهُدَى وَاعْصِمْ بِهِ قَلْبِي مِنَ الشَّيْطَانِ
الإمام القحطاني الأندلسي,الكامل,يَسِّرْ بِهِ أَمْرِي وَأَقْضِ مَآرِبِي , وَأَجِرْ بِهِ جَسَدِي مِنَ النِّيرَانِ,يَسِّرْ بِهِ أَمْرِي وَأَقْضِ مَآرِبِي وَأَجِرْ بِهِ جَسَدِي مِنَ النِّيرَانِ
الإمام القحطاني الأندلسي,الكامل,وَاحْطُطْ بِهِ وِزْرِي وَأَخْلِصْ نِيَّتِي , وَاشْدُدْ بِهِ أَزْرِي وَأَصْلِحْ شَانِي,وَاحْطُطْ بِهِ وِزْرِي وَأَخْلِصْ نِيَّتِي وَاشْدُدْ بِهِ أَزْرِي وَأَصْلِحْ شَانِي
الإمام القحطاني الأندلسي,الكامل,وَاكْشِفْ بِهِ ضُرِّي وَحَقِّقْ تَوْبَتِي , وَارْبِحْ بِهِ بَيْعِي بِلاَ خُسْرَانِ,وَاكْشِفْ بِهِ ضُرِّي وَحَقِّقْ تَوْبَتِي وَارْبِحْ بِهِ بَيْعِي بِلاَ خُسْرَانِ
الإمام القحطاني الأندلسي,الكامل,طَهِّرْ بِهِ قَلْبِي وَصَفِّ سَرِيرَتِي , أَجْمِلْ بِهِ ذِكْرِي وَأَعْلِ مَكَانِي,طَهِّرْ بِهِ قَلْبِي وَصَفِّ سَرِيرَتِي أَجْمِلْ بِهِ ذِكْرِي وَأَعْلِ مَكَانِي
الإمام القحطاني الأندلسي,الكامل,وَاقْطَعْ بِهِ طَمَعِي وَشَرِّفْ هِمَّتِي , كَثِّرْ بِهِ وَرَعِي وَأَحْيِ جَنَانِي,وَاقْطَعْ بِهِ طَمَعِي وَشَرِّفْ هِمَّتِي كَثِّرْ بِهِ وَرَعِي وَأَحْيِ جَنَانِي
الإمام القحطاني الأندلسي,الكامل,أَسْهِرْ بِهِ لَيْلِي وَأَظْمِ جَوَارِحِي , أَسْبِلْ بِفَيْضِ دُمُوعِهَا أَجْفَانِي,أَسْهِرْ بِهِ لَيْلِي وَأَظْمِ جَوَارِحِي أَسْبِلْ بِفَيْضِ دُمُوعِهَا أَجْفَانِي
الإمام القحطاني الأندلسي,الكامل,اِمْزِجْهُ يَا رَبِّي بِلَحْمِي مَعْ دَمِي , وَاغْسِلْ بِهِ قَلْبِي مِنَ الأَضْغَانِ,اِمْزِجْهُ يَا رَبِّي بِلَحْمِي مَعْ دَمِي وَاغْسِلْ بِهِ قَلْبِي مِنَ الأَضْغَانِ
الإمام القحطاني الأندلسي,الكامل,أَنْتَ الَّذِي صَوَّرْتَنِي وَخَلَقْتَنِي , وَهَدَيْتَنِي لِشَرَائِعِ الإِيمَانِ,أَنْتَ الَّذِي صَوَّرْتَنِي وَخَلَقْتَنِي وَهَدَيْتَنِي لِشَرَائِعِ الإِيمَانِ
الإمام القحطاني الأندلسي,الكامل,أَنْتَ الَّذِي عَلَّمْتَنِي وَرَحِمْتَنِي , وَجَعَلْتَ صَدْرِي وَاعِيَ الْقُرْآنِ,أَنْتَ الَّذِي عَلَّمْتَنِي وَرَحِمْتَنِي وَجَعَلْتَ صَدْرِي وَاعِيَ الْقُرْآنِ
