,Bayt_Text,Bahr
158,غَشيتُ مَنازِلنْ مِن آل هِندِنْ قِفارنْ بُدْدِلَت بَعدي عُفِيْيا,الوافر
159,تُبينُ رَمادَها وَمَخَطْطَ نُؤيِنْ وَأَشعَثَ ماثِلنْ فيها ثَوِيْيا,الوافر
160,فَكادَت مِن مَعارِفِها دُموعي تَهُمْمُ الشَأنَ ثُمْمَ ذَكَرتُ حَيْيا,الوافر
161,وَكانَ الجَهلُ لَو أَبكاكَ رَسمُنْ وَلَستُ أُحِبْبُ أَن أُدعى سَفِيْيا,الوافر
162,وَنَدمانِنْ كَريمِ الجَدْدِ سَمحِنْ صَبَحتُ بِسُحرَةتِنْ كَأسنْ سَبِيْيا,الوافر
163,يُحاذِرُ أَن تُباكِرَ عاذِلاتُنْ فَيُنبَأَ أَنْنَهُ أَضحى غَوِيْيا,الوافر
164,فَقالَ لَنا أَلا هَل مِن شِواءِنْ بِتَعريضِنْ وَلَم يَكميهِ عِيْيا,الوافر
165,فَأَرسَلتُ الغُلامَ وَلَم أُلَبْبِث إِلى خَيرِ البَوائِكِ تَوهَرِيْيا,الوافر
166,فَناءَت لِلقِيامِ لِغَيرِ سَوقِنْ وَأُتبِعُها جُرازنْ مُشرَفِيْيا,الوافر
167,فَظَلْلَ بِنِعمَةتِنْ يُسعى عَلَيهِ وَراحَ بِها كَريمنْ أَجفَلِيْيا,الوافر
168,وَكُنتُ إِذا الهُمومُ تَضَيْيَفَتني قَرَيتُ الهَمْمَ أَهوَجَ دَوسَرِيْيا,الوافر
169,بُوَيزِلَ عامِهِ مِردى قِذافِنْ عَلى التَأويبِ لا يَشكو الوَنِيْيا,الوافر
170,يُشيحُ عَلى الفَلاةِ فَيَعتَليها وَأَذرَعُ ما صَدَعتَ بِهِ المَطِيْيا,الوافر
171,كَأَني حينَ أَزجُرُهُ بِصَوتي زَجَرتُ بِهِ مُدِلْلنْ أَخدَرِيْيا,الوافر
172,تَمَهْهَلَ عانَتَنْ قَد ذَبْبَ عَنها يَكونَ مَصامُهُ مَنها قَصِيْيا,الوافر
173,أَطالَ الشَدْدَ وَالتَقريبَ حَتْتى ذَكَرتَ بِهِ مُمَرْرنْ أَندَرِيْيا,الوافر
174,بِها في رَوضَةتِنْ شَهرَي رَبيعِنْ فَسافَ لَها أَديمنْ أَدلَصِيْيا,الوافر
175,مُشيحنْ هَل يَرى شَبَحنْ قَريبنْ وَيوفي دونَها العَلَمَ العَلِيْيا,الوافر
176,إِذا لاقى بِظاهِرَةتِنْ دَحيقنْ أَمَرْرَ عَلَيهِما يَومنْ قَسِيْيا,الوافر
177,فَلَمْما قَلْلَصَت عَنهُ البَقايا وَأَعوَزَ مِن مَراتِعِهِ اللَوِيْيا,الوافر
178,أَرَنْنَ فَصَكْكَها صَخِبُنْ دَءولُنْ يَعُبْبُ عَلى مَناكِبِها الصَبِيْيا,الوافر
179,فَأَورَدَها عَلى طِملِنْ يَمانِنْ يُهِلْلُ إِذا رَأى لَحمنْ طَرِيْيا,الوافر
180,لَهُ شِريانَتُنْ شَغَلَت يَدَيهِ وَكانَ عَلى تَقَلْلُدِها قَوِيْيا,الوافر
181,وَزُرقُنْ قَد تَنَخْخَلَها لِقَضبِنْ يَشُدْدُ عَلى مَناصِبِها النَضِيْيا,الوافر
182,تَرَدْدى بُرأَتَنْ لَمْما بَناها تَبَوْوَأَ مَقعَدنْ مِنها خَفِيْيا,الوافر
183,فَلَمْما لَم يَرَينَ كَثيرَ ذُعرِنْ وَرَدنَ صَوادِينْ وَردنْ كَمِيْيا,الوافر
184,فَأَرسَلَ وَالمَقاتِلُ مُعوِراتُنْ لِما لاقَت ذُعافنْ يَثرِبِيْيا,الوافر
185,فَخَرْرَ النَصلُ مُنقَعِصنْ رَثيمنْ وَطارَ القِدحُ أَشتاتنْ شَظِيْيا,الوافر
186,وَعَضْضَ عَلى أَنامِلِهِ لَهيفنْ وَلاقى يَومَهُ أَسَفنْ وَغِيْيا,الوافر
187,وَراحَ بِحِرْرَةتِنْ لَهِفنْ مُصابنْ يُنَبْبِئُ عِرسَهُ أَمرنْ جَلِيْيا,الوافر
188,فَلَو لُطِمَت هُناكَ بَذاتِ خَمسِنْ لَكانا عِندَها حِتنَينِ سِيْيا,الوافر
189,وَكانوا واثِقينَ إِذا أَتاهُم بِلَحمِنْ إِن صَباحنْ أَو مُسِيْيا,الوافر
230,وَما عَيشُ الفَتى في الناسِ إِلْلا كَما أَشعَلتَ في ريحِنْ شِهابا,الوافر
231,فَيَسطَعُ تارَتَنْ حَسَننْ سَناهُ ذَكَيْيُ اللَونِ ثُمْمَ يَصيرُ هابا,الوافر
291,لَعَمرُ أَبيكَ وَالأَنباءُ تُنمى لَنِعمَ الجارُ أُختُ بَني عُوارا,الوافر
292,مِن الحَفَراتِ لَم تَفضَح أَباها وَلَم تَرفَع لِإِخَوتِها شَنارا,الوافر
293,كَأَنْنَ مَجامِعَ الأَردافِ مِنها نَق دَرَجَت عَلَيهِ الريحُ هارا,الوافر
294,يَعافُ وِصالَ ذاتِ البَذلِ قَلبي وَيَتْتَبِعُ المُمَنْنَعَةَ النوارا,الوافر
295,وَما عَجِزَت فَكيهَةُ يَومَ قامَت بِنَصلِ السَيفِ وَاِستَلَبوا الخِمارا,الوافر
296,كَأَنْنَ قَوائِمَ النَحامِ لَمْما تَحَمْمَلَ صُحبَتي أُصُلنْ مَحارُ,الوافر
297,عَلى قَرماءَ عاليَتُنْ شَواهُ كَأَنْنَ بَياضَ غُرْرَتِهِ خِمَارُ,الوافر
298,وَما يُدريكَ ما فَقري إِلَيهِ إِذا مَا القَومُ وَلْلَوا أَو أَغاروا,الوافر
299,وَيُحضِرُ فَوقَ جُهدِ الحُضرِ نَصْصنْ يَصيدُكَ قافِلنْ وَالمُخْخُ رارُ,الوافر
300,دِماءُ ثَلاثَةتِنْ أَردَت قَناتي وَخاذِفِ طَعنَةتِنْ بِقَفا يَسارِ,الوافر
301,سَمِعتُ بِجَمعِهِم فَرَضَختُ فيهِم بِنُعمانَ بنِ غَفقانَ بنِ عَمرِو,الوافر
302,فَإِن تَكفُر فَإِنْني لا أُبالي وَإِن تَشكُر فَإِنْني لَستُ أَدري,الوافر
303,كَأَنْنَ مَفالِقَ الهاماتِ مِنهُم صَراياتُنْ تَهادَتها الجَواري,الوافر
317,أَلا عَتَبَت عَلَيْيَ فَصارَمَتني وَأَعجَبَها ذَوو اللْلِمَمِ الطِوالِ,الوافر
318,فَإِنْني يا اِبنَةَ الأَقوامِ أُربي عَلى فِعلِ الوَضيْيِ مِنَ الرِجالِ,الوافر
319,فَلا تَصِلي بِصُعلوكِنْ نَؤومِنْ إِذا أَمسى يُعَدْدُ مِنَ العيَالِ,الوافر
320,وَلَكِن كُلْلُ صُعلوكِنْ ضَروبِنْ بِنَصلِ السَيفِ هاماتِ الرِجالِ,الوافر
321,أَشابَ الرَأسَ أَنْني كُلْلَ يَومِنْ أَرى لي خَالَتَنْ وَسطَ الرِجالِ,الوافر
322,يَشُقْقُ عَلَيْيَ أَن يَلقَينَ ضَيمنْ وَيَعجِزُ عَن تَخَلْلُصِهِنْنَ مالي,الوافر
342,وَكَم لاقَيتُ ذا نَجَبِنْ شَديدِنْ تَسيلُ بِهِ النُفوسُ عَلى الصُدورِ,الوافر
343,إِذا الحَربُ العَوانُ بِهِ اِستَهامَت وَجالَ فَذاكَ يَومُ قَمطَريرُ,الوافر
344,عَرَفَت مِنَ الكُنودِ بِبَطنِ ضَيمِنْ فَجَوْوِ بِشائِمِنْ طَلَلنْ مُحيلا,الوافر
345,تَعَفْفى رَسمُهُ إِلْلا خِيامنْ مَجَلْلَلَتُنْ جَوانِبُها جَليلا,الوافر
346,عَداني أَن أَزورَكَ أَنْنَ قَومي وَقَومُكَ أَلقَحوا حَربنْ شَمولا,الوافر
347,وَأَنْنَكَ لَو رَأَيتَ الناسَ يَومَ ال حِيارِ عَذَرتِ بِالشُغُلِ الخَليلا,الوافر
348,غَداةَ تَصارَخَت عَبدُ بنُ عَمرِنْو وَأَهلُ تُضاعِ فَاِحتَمَلوا قَتيلا,الوافر
349,غَداةَ حَبا لَهُم عَمرُو بنُ عَمرِنْو بِشِكْكَةِ كامِلِنْ يَدعو جَزيلا,الوافر
350,فَرَدْدوهُ بِمُشعَلَةتِنْ قَلوسُنْ تَخالُ رِداءَهُ مِنها طَميلا,الوافر
351,وَقامَ مُصَوْوِبُنْ مِنْنا وَمِنهُم وَكُلْلٌ يَتَحي حَنَقنْ وَبيلا,الوافر
352,وَقامَ مُصَوْوِتانِ بِرَأسِ عَثْثٍ أَقامَ الحَربَ وَالعَيْيَ الطَويلا,الوافر
353,وَغودِرَ في دِيارِهِم حُبَيشُنْ وَعيلَ عَلى الأَكارِسِ أَن يَؤولا,الوافر
354,وَعيلَ عَلى الحُمولِ وَمَن عَلَيها فَلا سَيرنْ يُطيقُ وَلا حُلولا,الوافر
355,وَنُسلِكُهُم مَدارِجَ بَطنِ صُرْرٍ إِلى قَرنِنْ كَما سُقتَ الحَسيلا,الوافر
356,كَأَنْنَ نِساءَهُم بَقَرُنْ مِراحُنْ خِلالَ شَقائِقِنْ تَطَأُ الوُحولا,الوافر
357,لَهُنْنَ صَواعِقُنْ يَعرِفنَ فينا بَني الأَخواتِ وَالنَسَبَ الدَخيلا,الوافر
358,بِكُلْلِ خَبيبَةتِنْ وَمَجازِ عُرضِنْ تَرى نَمَطنْ يُطَوْوَحُ أَو خَميلا,الوافر
359,فَلَمْما أَن هَبَطنا القاعَ رَدْدوا غَواشينا فَأَدبَرنا حُفولا,الوافر
360,وَقامَ لَنا بِبَطنِ القاعِ صيقُنْ فَخَلْلى الوازِعونَ لَنا السَبيلا,الوافر
361,فَأَدرَكنا دُعاهُم مِن بَعيدِنْ نَهتَزْزُ البيضَ يَشفينَ الغَليلا,الوافر
362,فَأَيْينْ ما رَأَيتَ نَظَرتَ طِرفنْ عَلَيهِ الطَيرَ مُنعَفِرنْ تَليلا,الوافر
363,فَلَمْما أَن رَأَيتُ القَومَ فَلْلوا فَلا رِندنْ قَبَضتُ وَلا فَتيلا,الوافر
364,حَبَكتُ مَلاءَتي العَلِيْيا كَأَنْني حَبَكتُ بِها قُطامِينْ هَزيلا,الوافر
365,كَأَنْنَ مِلاءَتي عَلى هِجَفْفٍ أَحَسْسَ عَشِيْيَتَنْ ريحنْ بَليلا,الوافر
366,عَلى حَثْثِ البَرايَةِ زَمخَرِيْيِ ال السَواعِدِ يَنبَري رَتَكنْ زَليلا,الوافر
367,وَأَدبَرَ عايِذُ البَقمي شَدْدنْ يَكُدْدُ الصَمدَ وَالحَزَنَ الرَحيلا,الوافر
368,وَغادَرَنا وَغادَرَ مَولِيانا بِقاعَ أَبيدَةِ الوَغمَ الطَويلا,الوافر
421,أَتُنكِرُ يا اِبنَ إِسحاقِنْ إِخائي وَتَحسَبُ ماءَ غَيري مِن إِنائي,الوافر
