Verse, Meter
Humpty Dumpty sat on a wall, dactyl
Humpty Dumpty had a great fall, dactyl
Humptys mother was very sad, dactyl
To see her son in the hospital, dactyl
Humpty Dumpty was slowly dying, dactyl
Humpty Dumpty was Painfully frying, dactyl
He said that there was only one cure, dactyl
Just give me one popsicle, dactyl
Adam and Eve, dactyl
John Milton, dactyl
Dont eat that fruit, dactyl
Thought they could, dactyl
Tree of Knowledge, dactyl
Insubordination, dactyl
Downfall occurs     , dactyl
Evil be thou my good, dactyl
Depths of wisdom, dactyl
Hermann Hesse, dactyl
Spiritualitys quest, dactyl
Souls transformation, dactyl
Enlightenment assured, dactyl
Corporealization, dactyl
The oneness of all, dactyl
Siddharthas realization, dactyl
Im looking at your eyes it is close in , dactyl
a dream I had touch your face in my, dactyl
 heart it is smooth like marble I want, dactyl
 to see you in sleeping I want to play , dactyl
with your fingers to disturb you in, dactyl
 sleeping lets tell you a story once , dactyl
upon a time one princess was , dactyl
sleeping and her lover was looking at , dactyl
her to wait when she opens her eyes, dactyl
 when he went near her she smiles , dactyl
and said why dont you sleep in , dactyl
my dreams he replied because I, dactyl
 am in your dreams only dear , dactyl
Wander the Earth, dactyl
Mikhail Yuryevich Lermontov, dactyl
Immortality his burden, dactyl
Abandoned and alone, dactyl
The Demons embrace, dactyl
Excommunication, dactyl
His fatal kiss, dactyl
Tortured to the bone, dactyl
Oh cuddly, dactyl
Teddy Bear, dactyl
Run up stream, dactyl
To fresh springs, dactyl
Impetuousness, dactyl
Spread in softness, dactyl
Under a tree, dactyl
Youre so honey, dactyl
Sweet Bee, dactyl
Fly with me, dactyl
To your flower, dactyl
Wings be flapping, dactyl
Hyperactivity, dactyl
In budding unison, dactyl
My dear lover, dactyl
Eulen und Meerkatzen, dactyl
Till Eulenspiegel, dactyl
Medieval Clown, dactyl
Fooled them all, dactyl
Mirrored peoples vanity, dactyl
Physiognomonic , dactyl
Judge of humanity, dactyl
Wasnt hard at all, dactyl
HiggledyPiggledy, dactyl
Young Dr Frankenstein, dactyl
thought he was able to, dactyl
cook up a man, dactyl
baking and broiling and, dactyl
incomprehensible, dactyl
things to invent such a, dactyl
Frankenstein plan, dactyl
He had a dream it was meant for all, dactyl
This dream was mostly for us to stand tall, dactyl
In the year of our Lord Jesus Christ 2008, dactyl
Began a new season one of debate, dactyl
Our lives in the balance our economy trashed, dactyl
There came a bright light a light that would last, dactyl
This light was from heaven it was not man made, dactyl
Lord Jesus was glowing and asked us to sit in the shade, dactyl
He went to work saving our souls first with our faith, dactyl
Then our earth He toiled endlessly with vigor and grace, dactyl
When all was said and done this dream he had dreamt, dactyl
Was one that will last and not leave us unkempt, dactyl
Time stood still on the earth we just wondered and guessed, dactyl
The world as we knew it was different yet blessed, dactyl
All the time he was smiling and toiling away, dactyl
He shed tears of joy being shed for us all and for our new day, dactyl
Hickory dickory, dactyl
Beauteous Rosamond, dactyl
Sleeping so silently, dactyl
One hundred years, dactyl
Come your awakening, dactyl
Phantasmagorical, dactyl
When a Prince Charming can, dactyl
Conquer your fears, dactyl
Elephant smellephant, dactyl
Donald the Trumpeter , dactyl
Blasting his crazy horn, dactyl
Spit blowing mutt, dactyl
First Chair Rethuglican, dactyl
