,Verse,Meter,char_count
114845,names of no mark or price of them not one,iambic,6
29257,'forbear my son' the hermit cries,iambic,6
35219,what conjur'd awe upon the people steals,iambic,6
2104,the lover in the husband may be lost,iambic,6
53113,among the nicest of mankind,iambic,6
169228,inquisitive attention while i read,iambic,6
123939,they spread their spurious treasures to the sun,iambic,6
35210,have issued from the temple or the throne,iambic,6
78204,there's musick in it could i fetch it out,iambic,6
83758,no pyrate seiz'd his still returning freight,iambic,6
166548,the pendant isicle the frostwork fair,iambic,6
63535,where o'er the rock the scarcelywaving pine,iambic,6
74473,and well deserve the heart i have possess'd,iambic,6
133343,and infants with a longer life repaid,iambic,6
120689,the rest are harlots by their flatt'ries won,iambic,6
43821,to thrust the charge of deeds that i detest,iambic,6
43408,forbid in vain to push his daring way,iambic,6
66348,where'er i cast my moist'ned eyes around,iambic,6
169909,infused at the creation of the kind,iambic,6
157230,how few beneath auspicious planets born,iambic,6
159976,impregnated the womb of distant space,iambic,6
39983,how short those intervals for reason's aid,iambic,6
42397,reflection firm and fancy free,iambic,6
92641,then happiest he whose timely hand,iambic,6
167174,fair fields appear below such as he left,iambic,6
64501,sollicit nor unwelcome to the youth,iambic,6
9607,'twas still replenished to the top,iambic,6
63982,and sickens sad with care o then indulge,iambic,6
2001,hard is the fortune that your sex attends,iambic,6
113278,wander on this inhospitable coast,iambic,6
102674,as storms and thunders rattling with loud peal,iambic,6
132059,two handmaids wait the throne alike in place,iambic,6
43659,cry to the proud the cruel and unjust,iambic,6
93274,her magic zone she next unbound,iambic,6
164939,dewdropping coolness to the shade retires,iambic,6
105865,and claims its honours from the chiefs of peace,iambic,6
136010,but stepdame nature niggard of her grace,iambic,6
180662,and painture here has brought forth poetry,iambic,6
133645,whose highest praise is that they live in vain,iambic,6
46477,who once was bless'd with fame and riches too,iambic,6
173346,a book to please us at a tender age,iambic,6
149423,they trust in armies and their courage dies,iambic,6
113898,the ruddy fruits should thy arrival great,iambic,6
79004,gay bloom whose transient glow can shed,iambic,6
39869,she never thinks you're sick enough,iambic,6
12242,were once the british lyon heard to roar,iambic,6
161300,scarce in the shade nor in the scorching day,iambic,6
56514,for to what class a writer may be doom'd,iambic,6
172862,wellpleas'd the world will leave,iambic,6
12109,that plagues not hymen with incessant prayers,iambic,6
161009,the blackbird strove with emulation sweet,iambic,6
73411,o britons if to pagan powers ye bow,iambic,6
106393,her spreading offspring of the fourth degree,iambic,6
51042,but let him conquer e'er one blow be struck,iambic,6
157421,where he most happy who the least laments,iambic,6
89540,a masterpassion is the love of news,iambic,6
84599,has oft been said and oft been sung,iambic,6
140393,as i drew near the cottage blaz'd,iambic,6
28556,yet waving heaps as ancient ballads tell,iambic,6
110415,they make glad seizure of the vacant room,iambic,6
27373,the callender amazed to see,iambic,6
32404,no more almeria wanders near,iambic,6
144343,desist and give us nature wild,iambic,6
138085,be found amidst some distant frozen waves,iambic,6
162198,held'st high thy braided mane and comely brow,iambic,6
1765,hope flies with youth and leaves to age,iambic,6
136151,whom hireling dervises by proxy teach,iambic,6
94166,altho' the mighty secret's not disclos'd,iambic,6
116947,yon larks that towering sing,iambic,6
152250,fly ye profane if not draw near with awe,iambic,6
72259,julia thy bridal vest prepare,iambic,6
90131,to nature dead he must adopt vile art,iambic,6
104479,not so attractive lately shone the plain,iambic,6
193592,there with my cries my saviour i'll assail,iambic,6
154524,to smile such peace has innocence in death,iambic,6
111639,and hov'ring shades the darken'd eyes o'erspread,iambic,6
15917,and mildest zephyrs fann'd my swelling sails,iambic,6
164122,at length the finish'd garden to the view,iambic,6
104085,i must such tedious horrid pangs indure,iambic,6
138011,who knows not here the richest gift was found,iambic,6
40847,of brittle grandeur with rapacious hand,iambic,6
