Poem_Line,Mater
Strength and resolve but the food for its ire,Iambic
Occasioned its torment when I just a child,Iambic
Knew in its object the beast 'neath my bed,Iambic
Its cold breath of reason haunting the gloom,Iambic
Years like a sponge sopping horror and awe,Iambic
Futile the struggle to see through its veil,Iambic
Til in mid age through no fault but my own,Iambic
Death showed its visage my flesh in its teeth,Iambic
Spit in my face matter clotted as truth,Iambic
Then as I rinsed the red stain from my skin,Iambic
Wrapped me in angel wings tender and warm,Iambic
Filled me with quiet and whispered my ear,Iambic
That I'd not be wary the darkness again,Iambic
For o'er my head swam an ocean of stars,Iambic
But only revealed in night's deepest black,Iambic
Just as the true light of Heaven is known,Iambic
Only in Death's dark eternal embrace,Iambic
We are not what am working to so hard,Iambic
We never a peer like bud and tendril,Iambic
Dealing with the terms odd and skewed enough,Iambic
I am dying of a world of fright ,Iambic
I know as we would not hold anymore,Iambic
I am keeping on and on dear me oh!,Iambic
I fear being lone loveless daisy,Iambic
Now that I am merely staying,Iambic
Weary of those smiles rotten,Iambic
Hollow dreams promises empty frail pleas,Iambic
Hiding fears clinging tears blowing north wind,Iambic
Oh! things are badly  stopped Some light I pray,Iambic
We not are pretend what too cleverly,Iambic
Never were together there we never!,Iambic
Little ball of fur ,Iambic
Listen to the purr,Iambic
Dangle string and,Iambic
See the kitty sway,Iambic
Focused on its prey,Iambic
Feel legs bunch and,Iambic
See the kitty pounce,Iambic
as dark a night has fallen from an autumn day,Iambic
and if you listen to the rustled breeze,Iambic
you may hear voices somewhere in the trees,Iambic
but never look for them  they're only there to play,Iambic
and reaching out to take that first and bonding kiss,Iambic
the world of separationists refused them this,Iambic
and everyone was watching them until,Iambic
for everyone resented love they couldn't know,Iambic
and he took to the whip he'd taken from,Iambic
so town folk layed some timber to a fire,Iambic
The flames consumed as if love spared them misery,Iambic
and so they all jumped in for sake of agony,Iambic
And only love survived this horrid frightful night,Iambic
if you've a mind to listen to the sound,Iambic
Sweet is the taste of days from yesteryear,Iambic
that haunt the heart so keenly they bring tears,Iambic
as time passed on and age ceased not to gain,Iambic
Sweet were the summers when you as a child,Iambic
ate popsicles and hula hooped a while,Iambic
and Christmases came with a little snow,Iambic
as sparkling trees had shiny gifts below,Iambic
Sweet was the past when youth was still in bloom,Iambic
and passion was a glance across the room,Iambic
from someone’s face you’d see for all your life,Iambic
from someone’s face who’d choose you for a wife,Iambic
Sweet is the thought of moments now gone by,Iambic
that pass across the mind and bring a sigh,Iambic
memories floating on life’s gentle breeze,Iambic
recalling mainly those that often please,Iambic
I'd walk down through the forest in the rain,Iambic
to see the girl in green and feel her pain,Iambic
uncertain of her life so many ways,Iambic
yet outwardly she'd laugh throughout the days,Iambic
All dressed in greenery of vine and leaves,Iambic
she'd dance and sing there in our greenery,Iambic
She teased me every morning in her way,Iambic
right next to you but far back in the trees,Iambic
nor tries to understand what I can't show,Iambic
the me they never see and do not know,Iambic
The images of her are with me yet,Iambic
as part of me and what I'll not forget,Iambic
but then one day I blinked and she was gone,Iambic
I could not ask of her to anyone,Iambic
for she lived over there  back through the trees,Iambic
